"knr","kname","month","age","unemp"
"199","1002","Mandal (-2019)","1999M07","15-74 years",3.3
"200","1002","Mandal (-2019)","1999M08","15-74 years",3.6
"201","1002","Mandal (-2019)","1999M09","15-74 years",2.7
"202","1002","Mandal (-2019)","1999M10","15-74 years",2.6
"203","1002","Mandal (-2019)","1999M11","15-74 years",2.8
"204","1002","Mandal (-2019)","1999M12","15-74 years",3.1
"205","1002","Mandal (-2019)","2000M01","15-74 years",3.4
"206","1002","Mandal (-2019)","2000M02","15-74 years",3.3
"207","1002","Mandal (-2019)","2000M03","15-74 years",3
"208","1002","Mandal (-2019)","2000M04","15-74 years",3.2
"209","1002","Mandal (-2019)","2000M05","15-74 years",2.7
"210","1002","Mandal (-2019)","2000M06","15-74 years",2.9
"211","1002","Mandal (-2019)","2000M07","15-74 years",3.5
"212","1002","Mandal (-2019)","2000M08","15-74 years",3.1
"213","1002","Mandal (-2019)","2000M09","15-74 years",2.6
"214","1002","Mandal (-2019)","2000M10","15-74 years",2.5
"215","1002","Mandal (-2019)","2000M11","15-74 years",3
"216","1002","Mandal (-2019)","2000M12","15-74 years",3.5
"217","1002","Mandal (-2019)","2001M01","15-74 years",3.7
"218","1002","Mandal (-2019)","2001M02","15-74 years",3.1
"219","1002","Mandal (-2019)","2001M03","15-74 years",2.8
"220","1002","Mandal (-2019)","2001M04","15-74 years",2.6
"221","1002","Mandal (-2019)","2001M05","15-74 years",2.4
"222","1002","Mandal (-2019)","2001M06","15-74 years",2.5
"223","1002","Mandal (-2019)","2001M07","15-74 years",3.2
"224","1002","Mandal (-2019)","2001M08","15-74 years",3.4
"225","1002","Mandal (-2019)","2001M09","15-74 years",3
"226","1002","Mandal (-2019)","2001M10","15-74 years",2.8
"227","1002","Mandal (-2019)","2001M11","15-74 years",2.7
"228","1002","Mandal (-2019)","2001M12","15-74 years",2.6
"229","1002","Mandal (-2019)","2002M01","15-74 years",3.3
"230","1002","Mandal (-2019)","2002M02","15-74 years",3.2
